Districts,District Name Clean,Electoral Name Clean,constituency,url,parent_district,divisions
Cumilla District,Cumilla,Cumilla,Cumilla-1,https://en.wikipedia.org/wiki/Comilla-1,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-2,https://en.wikipedia.org/wiki/Comilla-2,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-3,https://en.wikipedia.org/wiki/Comilla-3,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-4,https://en.wikipedia.org/wiki/Comilla-4,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-5,https://en.wikipedia.org/wiki/Comilla-5,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-6,https://en.wikipedia.org/wiki/Comilla-6,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-7,https://en.wikipedia.org/wiki/Comilla-7,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-8,https://en.wikipedia.org/wiki/Comilla-8,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-9,https://en.wikipedia.org/wiki/Comilla-9,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-10,https://en.wikipedia.org/wiki/Comilla-10,Comilla,Chattogram
Cumilla District,Cumilla,Cumilla,Cumilla-11,https://en.wikipedia.org/wiki/Comilla-11,Comilla,Chattogram
